"","num_id","Name","Type","Dedoose name","Short description","Description_tool","Strategies the tool can support","Theory of change","Structural or operational","Evidence review","DIMEL","Description","Inverse factor","Inverse factor description","Contextual or design factor","Family","dissuade","degrade","protect","transition","military","diplomatic","informational","economic","legal","domestic_context","conflict_dynamics","target_characteristics","implementer_choices","implementer_characteristics","international_dynamics","tool_specific"
"11",93,"Diplomatic sanctions","Tool","Diplomatic sanctions_tool","Severing or downgrading diplomatic relations to signal disapproval","Diplomatic sanctions include “severing formal diplomatic ties with a country or significantly downgrading ties from the normal level of diplomatic activity for foreign policy purposes” (Maller 2009, p. 512). Diplomatic sanctions may specifically entail not recognizing a regime in public statements, withdrawing staff from or closing an embassy, “restrictions on travel for specific leaders” (MacGregor and Bowles 2012, p. 445), and “suspension of membership or expulsion from international or regional bodies” (ICISS 2001, p. 31). Diplomatic sanctions are intended to “signal disapproval of the target regime's behaviour, and also to signal the possibility of subsequent punitive measures should that behaviour not change” (Krain 2014, p. 27).","(1) dissuading potential perpetrators from committing atrocities, and (4) facilitating a political transition.","If diplomatic sanctions impose reputational costs on potential perpetrators and/or increase their expectation that external actors will impose other costs in the future in response to atrocities, they would reduce the likelihood of mass atrocities. In addition, if diplomatic sanctions damage an abusive leader’s domestic standing, they would reduce the likelihood or severity of mass atrocities by helping facilitate a political transition.","Operational",NA,"Diplomatic",NA,NA,NA,NA,NA,1,0,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA
"12",212,"Development assistance","Tool","Development assistance_tool","Aid that promotes economic growth, welfare, and humanitarian relief","Development assistance is “government aid that promotes and specifically targets the economic development and welfare of developing countries” (OECD). Development assistance is typically organized into sectors, including democracy, rights, and governance; economic growth; health; education; and humanitarian assistance (USAID). Our research review includes studies of the linkage between development assistance of any or all sectors with mass atrocities or closely related outcomes. As such, it is not a detailed review of alternative program-level interventions. Research reviews of programming options in conflict prevention and peacebuilding can be found from the International Initiative for Impact Evaluation and the United Kingdom’s Department for International Development. Guidance on programming options to help prevent mass atrocities can be found from USAID.  ","(1) dissuading potential perpetrators from committing atrocities","If development assistance increases the expected benefits of alternative courses of action to committing mass atrocities, it would reduce the likelihood or severity of mass atrocities.","Operational, Structural","Yes","Economic",NA,NA,NA,NA,NA,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA
"13",64,"Security assistance","Tool","Security assistance_tool","Aid that promotes another state’s defense","Security assistance is support provided by a government in the form of “defense articles, military education and training, and other defense-related services to eligible foreign governments by grant, loan, credit, cash sales, or lease” (Office of the Deputy Assistant Secretary of the Army for Defense Exports and Cooperation).","(1) dissuading potential perpetrators from committing atrocities, (2) degrading potential perpetrators’ capacity to commit atrocities, and (3) protecting vulnerable civilian populations.","If security assistance increases the expected benefits of alternative courses of action to committing mass atrocities, it would reduce the likelihood or severity of mass atrocities. In addition, if security assistance enables a state to provide physical protection to civilian populations, to increase costs to other armed actors of committing atrocities (e.g., by attacking them in response to atrocities), or to destroy or degrade other groups’ capacities to commit atrocities, it would reduce the likelihood or severity of mass atrocities.","Operational, Structural","Yes","Military, Economic, Informational",NA,NA,NA,NA,NA,1,1,1,0,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA
"14",139,"Fact-finding","Tool",NA,"Information gathering efforts on conflicts and/or violations of international law","Fact-finding is the acquisition “of detailed knowledge about the factual circumstances of any dispute or situation … which might threaten the maintenance of international peace and security” (UN General Assembly 1991) and/or the investigation of violations of international humanitarian law and international human rights law in an effort “to promote accountability … and counter impunity” (OHCHR 2015, p. 2).","(1) dissuading potential perpetrators from committing atrocities, and (3) protecting vulnerable civilian populations.",NA,"Operational","No","Informational",NA,NA,NA,NA,NA,1,0,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA
"15",55,"Security guarantees","Tool",NA,"Promises made to protect or respect a party’s security","Security guarantees are “any implicit or explicit promise given by an outside power to protect” particular parties to a conflict (Walter 1997, p. 345). They can be “positive,” meaning a promise to come to a party’s aid, or “negative,” meaning a promise to refrain from attack or using specific weapons (Freeman 2003). They are often offered during peace negotiations or mediation efforts to draw parties to the negotiation table or agree to a peace agreement.","(1) dissuading potential perpetrators from committing atrocities.",NA,"Operational","No","Military, Diplomatic, Legal",NA,NA,NA,NA,NA,1,0,0,0,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA
"16",213,"Support to civilian self-protection efforts","Tool",NA,"Assistance to help civilian communities protect themselves","Civilian self-protection efforts include “any activities that conflict-affected communities undertake with the intention of countering, mitigating, deterring or avoiding a threat” (Gorur 2013, p. 4). Governments, international organizations, and non-governmental organizations can support these efforts through advice, funding, or the provision of material goods.","(1) dissuading potential perpetrators from committing atrocities, and (3) protecting vulnerable civilian populations.",NA,"Operational","No","Informational, Military, Economic",NA,NA,NA,NA,NA,1,0,1,0,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA
"17",151,"Cyber attacks","Tool",NA,"Attacks on computer systems or networks ","Cyber attacks are ""efforts to alter, disrupt, or destroy computer systems or networks or the information or programs on them"" (Waxman 2011, p. 422).","(1) dissuading potential perpetrators from committing atrocities, and (2) degrading potential perpetrators’ capacity to commit atrocities.",NA,"Operational","No","Informational, Military, Economic",NA,NA,NA,NA,NA,1,1,0,0,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA
"18",172,"Public diplomacy","Tool",NA,"A country’s public-facing diplomatic efforts ","Public diplomacy involves the ways “a sovereign country communicates with publics in other countries aimed at informing and influencing audiences overseas for the purpose of promoting the national interest and advancing its foreign policy goals” (USC Center on Public Diplomacy). Examples include “educational exchange programs for scholars and students; visitor programs; language training; cultural events and exchanges; and radio and television broadcasting” (USC Center on Public Diplomacy).","(1) dissuading potential perpetrators from committing atrocities, (4) facilitating a political transition.",NA,"Operational, Structural","No","Diplomatic, Informational",NA,NA,NA,NA,NA,1,0,0,1,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA
"19",206,"Bilateral diplomacy","Tool",NA,"Diplomatic relations and activity between two countries ","Bilateral diplomacy consists of “the state-to-state process” by which a state “engages individual foreign states, across a spectrum of subjects, to advance one’s own domestic and international objectives” (Rana 2020, pp. 2, 4). Bilateral diplomacy may include correspondence and agreements between diplomatic missions of the host state and sending country.  ","(1) dissuading potential perpetrators from committing atrocities, (2) degrading potential perpetrators’ capacity to commit atrocities, (3) protecting vulnerable civilian populations, and (4) facilitating a political transition.",NA,"Operational, Structural","No","Diplomatic",NA,NA,NA,NA,NA,1,1,1,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA
"20",147,"Multilateral diplomacy","Tool",NA,"Diplomatic relations between multiple states or through international institutions ","Multilateral diplomacy is “the practice of involving more than two nations or parties in achieving diplomatic solutions to supranational problems” (Mahbubani 2013). It includes engagement with ad hoc groupings of countries and diplomacy through formal international organizations, such as the United Nations, NATO, and the Organization of American States.","(1) dissuading potential perpetrators from committing atrocities, (2) degrading potential perpetrators’ capacity to commit atrocities, (3) protecting vulnerable civilian populations, and (4) facilitating a political transition.",NA,"Operational, Structural","No","Diplomatic",NA,NA,NA,NA,NA,1,1,1,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA
"21",207,"Military presence","Tool",NA,"Non-invasion, peacetime troops stationed in a host state ","Military presence includes the “peacetime presence of a foreign military on the territory of another sovereign state without interference into the host’s domestic authority structures” (Schmidt 2014, pp. 817-818) with the consent of the host state (Martinez Machain and Morgan 2013, p. 102).","(1) dissuading potential perpetrators from committing atrocities, and (3) protecting vulnerable civilian populations.",NA,"Operational, Structural","No","Military",NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"22",87,"Refugee protection","Tool",NA,"The legal and physical protection of refugees","Refugee protection can include many specific actions to provide legal and physical protection to people who have fled their home country for fear of persecution (UNHCR USA). In addition to immediate life-saving assistance, refugee protection involves facilitating one of three “durable solutions” - voluntary repatriation, local integration, or resettlement in a third country (UNHCR 2016, pp. 180-181).","(3) protecting vulnerable civilian populations",NA,"Operational","No","Diplomatic, Economic, Legal",NA,NA,NA,NA,NA,0,0,1,0,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA
"23",157,"Trade or investment incentives","Tool",NA,"Economic measures that seek to incentivize specific state behavior ","Trade or investment incentives include policies that seek to encourage or discourage state behavior by linking it with potential economic benefits. Such policies might consist of conditional offers of debt relief, exchange rate adjustment, and preferential trade agreements. ","(1) dissuading potential perpetrators from committing atrocities, and (2) degrading potential perpetrators’ capacity to commit atrocities.",NA,"Operational, Structural","No","Economic, Legal",NA,NA,NA,NA,NA,1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA
"24",77,"Democracy ","Factor","Democracy",NA,NA,NA,NA,NA,NA,NA,"The country under study is a democracy. (Note - For our review, we assume that findings associated with autocracy or authoritarian regime type can be considered equivalent to findings associated with the absence of democracy.)","Autocracy or authoritarian regime","The country under study is an autocracy or authoritarian regime.","Contextual","Domestic context ",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0
"25",76,"Anocracy or hybrid regime   ","Factor","Anocracy or hybrid regime",NA,NA,NA,NA,NA,NA,NA,"The country under study is an anocracy or hybrid regime.",NA,NA,"Contextual","Domestic context",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0
"26",162,"Rebel control of territory","Factor","Rebel control of territory",NA,NA,NA,NA,NA,NA,NA,"The territory where mass atrocities are occurring is controlled or governed by a rebel group.",NA,NA,"Contextual","Domestic context",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0
"27",220,"Military regime","Factor","Military regime",NA,NA,NA,NA,NA,NA,NA,"The country under study is ruled by a military regime.",NA,NA,"Contextual","Domestic context",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0
"28",92,"Difficult terrain","Factor","Difficult terrain",NA,NA,NA,NA,NA,NA,NA,"The territory is mountainous or has terrain that is difficult to navigate.","Easy terrain","The territory is not mountainous or has terrain that is easy to navigate.","Contextual","Domestic context",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0
"29",104,"Domestic punishment likely","Factor","Domestic_punishment_likely",NA,NA,NA,NA,NA,NA,NA,"Punishment for the perpetrators of mass atrocities is likely in the domestic context.","Domestic punishment unlikely","Punishment for the perpetrators of mass atrocities is unlikely in the domestic context.","Contextual","Domestic context",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0
"30",153,"History of tool use","Factor","History of tool use",NA,NA,NA,NA,NA,NA,NA,"The tool has been used in the country’s history.","No history of tool use","The tool has not been used in the country’s history.","Contextual","Domestic context",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0
"31",184,"Domestic cooperation with the tool ","Factor","Cooperation",NA,NA,NA,NA,NA,NA,NA,"The country under study cooperates with the tool.","No domestic cooperation with the tool","The country under study does not cooperate with the tool or the tool implementer.","Contextual","Domestic context",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0
"32",83,"Highly developed state ","Factor","Highly developed state",NA,NA,NA,NA,NA,NA,NA,"The country under study is highly developed.","Less developed state","The country under study is not highly developed.","Contextual","Domestic context",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0
"33",20,"Local support for tool   ","Factor","Local support for tool",NA,NA,NA,NA,NA,NA,NA,"Most of the local population and/or local civil society supports the use of the tool and perceives its use as legitimate.","No local support for tool","There is a low degree of local population support or civil society mobilization for the use or goals of the tool, and/or the local population perceives the use of the tool as illegitimate.","Contextual","Domestic context",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0
"34",170,"National atrocity prevention efforts","Factor","National atrocity prevention efforts",NA,NA,NA,NA,NA,NA,NA,"The government of the country under study is concurrently taking other actions to help prevent mass atrocities.","No national atrocity prevention efforts","The government of the country under study is not implementing other tools that are consistent with the goals of the tool.","Contextual","Domestic context",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0
"35",145,"Domestic justice or human rights infrastructure ","Factor","Domestic justice or human rights infrastructure",NA,NA,NA,NA,NA,NA,NA,"The country under study has a well-developed domestic justice infrastructure, has many human rights organizations, and/or has ratified international human rights treaties.","Limited domestic justice or human rights infrastructure","The country under study (1) has a poorly-developed domestic justice infrastructure; (2) has few human rights organizations; or (3) has not ratified key human rights treaties.","Contextual","Domestic context",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0
"36",138,"Ripeness","Factor","Ripeness",NA,NA,NA,NA,NA,NA,NA,"The parties to the conflict perceive a negotiated resolution as in their mutual interest.","The conflict is not ripe for resolution.","The parties to the conflict do not perceive a negotiated resolution as in their mutual interest.","Contextual","Domestic context",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0
"37",177,"War weariness","Factor","War weariness",NA,NA,NA,NA,NA,NA,NA,"There is a feeling of exhaustion or disillusion caused by a prolonged conflict in the territory in which mass atrocities are occurring.","No war weariness","There is no feeling of exhaustion or disillusion caused by prolonged conflict in the territory in which mass atrocities are occurring.","Contextual","Domestic context",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0
"38",29,"Nationalist political leverage","Factor","Nationalist political leverage",NA,NA,NA,NA,NA,NA,NA,"Nationalists have significant political leverage in the country under study.","Limited nationalist political leverage","Nationalists have limited political leverage in the country under study.","Contextual","Domestic context",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0
"39",88,"High ethnic diversity","Factor","Ethnic diversity",NA,NA,NA,NA,NA,NA,NA,"The country under study has a high degree of ethnic diversity.","Low ethnic diversity","The country under study has a low degree of ethnic diversity.","Contextual","Domestic context",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0
"40",61,"Ethnic exclusion or polarization","Factor","Ethnic exclusion",NA,NA,NA,NA,NA,NA,NA,"The state where mass atrocities are occurring is characterized by high levels of ethnic exclusion or ethnic polarization.","Limited ethnic exclusion","The country under study is characterized by low levels of ethnic exclusion or ethnic polarization.","Contextual","Domestic context",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0
"41",111,"High-risk state","Factor","High-risk state",NA,NA,NA,NA,NA,NA,NA,"The country under study exhibits a combination of characteristics that increase the likelihood of conflict onset, such as low GDP per capita and rule by anocracy.","Lower-risk state","The country under study does not exhibit characteristics that increase the likelihood of conflict onset.","Contextual","Domestic context  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0
"42",186,"Conventional tactics","Factor","Conventional tactics",NA,NA,NA,NA,NA,NA,NA,"Parties to the conflict use conventional tactics, which include well-defined forces on each side and the use of conventional weapons.","Absence of conventional tactics","Parties to the conflict do not use conventional tactics, which include well-defined forces on each side and the use of conventional weapons.","Contextual","Conflict dynamics",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0
"43",69,"Guerrilla warfare ","Factor","Guerrilla warfare",NA,NA,NA,NA,NA,NA,NA,"Parties to the conflict use guerrilla warfare, in which small groups of combatants target a larger military through ambushes, raids, etc.","Absence of guerilla warfare","Parties to the conflict do not use guerrilla warfare, in which small groups of combatants target a larger military through ambushes, raids, etc.","Contextual","Conflict dynamics",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0
"44",31,"History of compromise ","Factor","History of compromise",NA,NA,NA,NA,NA,NA,NA,"There is a history of compromise or a high degree of trust between conflict parties.","No history of compromise","There is no history of compromise or a low degree of trust between conflict parties.","Contextual","Conflict dynamics",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0
"45",1,"History of conflict ","Factor","History of conflict",NA,NA,NA,NA,NA,NA,NA,"The parties to the conflict or the country under study has a history of violent conflict.","No history of conflict","Neither the parties to the conflict nor the country under study has a history of violent conflict.","Contextual","Conflict dynamics",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0
"46",174,"Comprehensive settlement or peace agreement","Factor","Comprehensive_settlement_or_peace_agreement",NA,NA,NA,NA,NA,NA,NA,"There is a comprehensive settlement or peace agreement between the conflict parties.","No comprehensive settlement or peace agreement","There is no comprehensive settlement or peace agreement between the conflict parties.","Contextual","Conflict dynamics",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0
"47",148,"Atrocities by the government ","Factor","Atrocities by Government",NA,NA,NA,NA,NA,NA,NA,"Atrocities, human rights abuses, or one-sided violence are being perpetrated by the government.",NA,NA,"Contextual","Conflict dynamics",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0
"48",202,"Atrocities by non-state armed groups","Factor","Atrocities by NSAGs",NA,NA,NA,NA,NA,NA,NA,"Atrocities, human rights abuses, or one-sided violence are being perpetrated by non-state armed groups.",NA,NA,"Contextual","Conflict dynamics",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0
"49",208,"Atrocities by the government and non-state armed groups ","Factor","Atrocities by GOVT and NSAGs",NA,NA,NA,NA,NA,NA,NA,"Atrocities, human rights abuses, or one-sided violence are being perpetrated by the government and non-state armed groups.",NA,NA,"Contextual","Conflict dynamics",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0
"50",98,"Interstate conflict ","Factor","Interstate",NA,NA,NA,NA,NA,NA,NA,"The country is experiencing an interstate conflict.","No interstate conflict","The country is not currently experiencing an interstate conflict.","Contextual","Conflict dynamics",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0
"51",161,"Intrastate conflict ","Factor","Intrastate",NA,NA,NA,NA,NA,NA,NA,"The country is experiencing an intrastate conflict.","No intrastate conflict","The country is not currently experiencing an intrastate conflict.","Contextual","Conflict dynamics",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0
"52",70,"Secessionist conflict","Factor","War of secession",NA,NA,NA,NA,NA,NA,NA,"The country is experiencing a conflict that concerns a party’s effort to establish an independent state on part of the territory claimed by a state.","Not a secessionist conflict","The country is not experiencing a conflict that concerns a party’s effort to establish an independent state on part of the territory claimed by a state.","Contextual","Conflict dynamics",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0
"53",57,"Identity-based conflict","Factor","Ethnic conflict",NA,NA,NA,NA,NA,NA,NA,"The country is experiencing a conflict that concerns the rights or territory of an ethnic, religious, racial, and/or other identity group.","Not an ethnic conflict","The country is not experiencing a conflict that concerns the rights or territory of an ethnic, religious, racial, and/or other identity group.","Contextual","Conflict dynamics",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0
