"","Name.Final_research","Name.Final_practitioner","tool_name","count","greater_findings","lesser_findings","no_mixed_findings","temp_vote_count_factor","vote_count_factor","count_adverse","count_without_adverse","ma_focus_greater_count_factor","ma_focus_lesser_count_factor","ma_focus_no_mixed_count_factor","cro_focus_greater_count_factor","cro_focus_lesser_count_factor","cro_focus_no_mixed_count_factor","outcomes","Short.description","Description_tool","Theory.of.change","Structural.or.operational","Evidence.review","Strategies.the.tool.can.support","DIMEL","Name","Dedoose.name_factor","Description","Inverse.factor","Inverse.factor.description","Contextual.or.design.factor","Family","greater_practitioner","lesser_practitioner","no_mixed_practitioner","count_practitioner","number_practitioners","proportion_practitioner","inversion_with_neg_strength","Description.Final_research","Description.Final_practitioner","research_qualitative","practitioner_qualitative","research_qualitative_for_web","practitioner_qualitative_for_web","Dedoose.name_tool","dissuade","degrade","protect","transition","military","diplomatic","informational","economic","legal","domestic_context","conflict_dynamics","target_characteristics","implementer_choices","implementer_characteristics","international_dynamics","tool_specific"
"11","Well-informed implementer",NA,"Mediation",7,6,0,1,3.5,3.25,0,7,1,0,0,5,0,1,"Conflict, Mass atrocities","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) facilitating a political transition.","Diplomatic","Well-informed implementer","Knowledge","The tool implementer is well-versed in the political and social context in which the conflict is occurring, or has credible information about the intentions or capabilities of the target.","Poorly-informed implementer","The tool implementer is poorly-versed in the political and social context in which the conflict is occurring, or lacks credible information about the intentions or capabilities of the target.","Design","Implementer characteristics",NA,NA,NA,NA,NA,NA,0,"The tool implementer is well-versed in the political and social context in which the conflict is occurring, or has credible information about the intentions or capabilities of the target.",NA,"Stronger",NA,"Relatively strong",NA,"Mediation_tool",1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"12","Concurrent use of multiple tools",NA,"Mediation",15,10,1,4,5,4,0,15,1,0,0,9,1,4,"Conflict, Mass atrocities","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) facilitating a political transition.","Diplomatic","Concurrent use of multiple tools","Multi_tool","The tool implementer or other actors are simultaneously implementing other tools that are consistent with the goals of the tool.","Single tool","No actors are implementing tools that are consistent with the goals of the tool.","Design","Implementer choices",NA,NA,NA,NA,NA,NA,0,"The tool implementer or other actors are simultaneously implementing other tools that are consistent with the goals of the tool.",NA,"Stronger",NA,"Relatively strong",NA,"Mediation_tool",1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"13","Clear policy objectives",NA,"Mediation",2,2,0,0,1,1,0,2,0,0,0,2,0,0,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) facilitating a political transition.","Diplomatic","Clear policy objectives","Clear policy objectives","The implementer's objectives in using the tool are clear.","Absence of clear policy objectives","The implementer's objectives in using the tool are unclear.","Design","Implementer choices",NA,NA,NA,NA,NA,NA,0,"The implementer's objectives in using the tool are clear.",NA,"Weaker",NA,"Relatively weak",NA,"Mediation_tool",1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"14","Committed implementer",NA,"Mediation",6,6,0,0,3,3,0,6,0,0,0,6,0,0,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) facilitating a political transition.","Diplomatic","Committed implementer","Commitment","The tool implementer has a high level of commitment, resolve, or credibility, or has committed a great deal of resources toward use of the tool.","Uncommitted implementer","The tool implementer has a low level of commitment, resolve, or credibility, or has committed few resources toward use of the tool.","Design","Implementer characteristics",NA,NA,NA,NA,NA,NA,0,"The tool implementer has a high level of commitment, resolve, or credibility, or has committed a great deal of resources toward use of the tool.",NA,"Moderate",NA,"Moderate",NA,"Mediation_tool",1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"15","Conflict party initiates mediation",NA,"Mediation",3,2,1,0,0.5,0.5,0,3,0,0,0,2,1,0,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) facilitating a political transition.","Diplomatic","Conflict party initiates mediation","Conflict_party_initiates_mediation","The mediation is initiated by one of the parties to the conflict in which mass atrocities are occurring, rather than a third-party actor.","Third party initiates mediation","The mediation is initiated by a third party actor, rather than one of the parties to the conflict in which mass atrocities are occurring.","Design","Mediation factors",NA,NA,NA,NA,NA,NA,0,"The mediation is initiated by one of the parties to the conflict in which mass atrocities are occurring, rather than a third-party actor.",NA,"Weaker",NA,"Relatively weak",NA,"Mediation_tool",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"16","Monitoring and adjustment",NA,"Mediation",3,3,0,0,1.5,1.5,0,3,0,0,0,3,0,0,"Conflict, Human rights violations","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) facilitating a political transition.","Diplomatic","Monitoring and adjustment","Monitoring","The success of the tool is monitored and the tool is adjusted to maximize success.","Absence of monitoring and adjustment","The success of the tool is not monitored nor is the tool adjusted to maximize success.","Design","Implementer choices",NA,NA,NA,NA,NA,NA,0,"The success of the tool is monitored and the tool is adjusted to maximize success.",NA,"Moderate",NA,"Moderate",NA,"Mediation_tool",1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"17","Peacekeepers involved in mediation",NA,"Mediation",2,2,0,0,1,1,0,2,0,0,0,2,0,0,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) facilitating a political transition.","Diplomatic","Peacekeepers involved in mediation","Peacekeepers_involved_mediation","Peacekeepers are involved in the mediation effort.","Peacekeepers not involved in mediation","Peacekeepers are not involved in the mediation effort.","Design","Mediation factors",NA,NA,NA,NA,NA,NA,0,"Peacekeepers are involved in the mediation effort.",NA,"Weaker",NA,"Relatively weak",NA,"Mediation_tool",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"18","Committed implementer",NA,"Development assistance",6,6,0,0,3,3,0,6,0,0,0,6,0,0,"Conflict","Aid that promotes economic growth, welfare, and humanitarian relief","Development assistance is “government aid that promotes and specifically targets the economic development and welfare of developing countries” (OECD). Development assistance is typically organized into sectors, including democracy, rights, and governance; economic growth; health; education; and humanitarian assistance (USAID). Our research review includes studies of the linkage between development assistance of any or all sectors with mass atrocities or closely related outcomes. As such, it is not a detailed review of alternative program-level interventions. Research reviews of programming options in conflict prevention and peacebuilding can be found from the International Initiative for Impact Evaluation and the United Kingdom’s Department for International Development. Guidance on programming options to help prevent mass atrocities can be found from USAID.  ","If development assistance increases the expected benefits of alternative courses of action to committing mass atrocities, it would reduce the likelihood or severity of mass atrocities.","Operational, Structural","Yes","(1) dissuading potential perpetrators from committing atrocities","Economic","Committed implementer","Commitment","The tool implementer has a high level of commitment, resolve, or credibility, or has committed a great deal of resources toward use of the tool.","Uncommitted implementer","The tool implementer has a low level of commitment, resolve, or credibility, or has committed few resources toward use of the tool.","Design","Implementer characteristics",NA,NA,NA,NA,NA,NA,0,"The tool implementer has a high level of commitment, resolve, or credibility, or has committed a great deal of resources toward use of the tool.",NA,"Moderate",NA,"Moderate",NA,"Development assistance_tool",1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"19","Local support for tool",NA,"Development assistance",4,4,0,0,2,2,0,4,0,0,0,4,0,0,"Conflict","Aid that promotes economic growth, welfare, and humanitarian relief","Development assistance is “government aid that promotes and specifically targets the economic development and welfare of developing countries” (OECD). Development assistance is typically organized into sectors, including democracy, rights, and governance; economic growth; health; education; and humanitarian assistance (USAID). Our research review includes studies of the linkage between development assistance of any or all sectors with mass atrocities or closely related outcomes. As such, it is not a detailed review of alternative program-level interventions. Research reviews of programming options in conflict prevention and peacebuilding can be found from the International Initiative for Impact Evaluation and the United Kingdom’s Department for International Development. Guidance on programming options to help prevent mass atrocities can be found from USAID.  ","If development assistance increases the expected benefits of alternative courses of action to committing mass atrocities, it would reduce the likelihood or severity of mass atrocities.","Operational, Structural","Yes","(1) dissuading potential perpetrators from committing atrocities","Economic","Local support for tool","Local support for tool","Most of the local population and/or local civil society supports the use of the tool and perceives its use as legitimate.","No local support for tool","There is a low degree of local population support or civil society mobilization for the use or goals of the tool, and/or the local population perceives the use of the tool as illegitimate.","Contextual","Domestic context",NA,NA,NA,NA,NA,NA,0,"Most of the local population and/or local civil society supports the use of the tool and perceives its use as legitimate.",NA,"Moderate",NA,"Moderate",NA,"Development assistance_tool",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"20","Consistent implementation",NA,"Development assistance",3,3,0,0,1.5,1.5,0,3,0,0,0,3,0,0,"Conflict","Aid that promotes economic growth, welfare, and humanitarian relief","Development assistance is “government aid that promotes and specifically targets the economic development and welfare of developing countries” (OECD). Development assistance is typically organized into sectors, including democracy, rights, and governance; economic growth; health; education; and humanitarian assistance (USAID). Our research review includes studies of the linkage between development assistance of any or all sectors with mass atrocities or closely related outcomes. As such, it is not a detailed review of alternative program-level interventions. Research reviews of programming options in conflict prevention and peacebuilding can be found from the International Initiative for Impact Evaluation and the United Kingdom’s Department for International Development. Guidance on programming options to help prevent mass atrocities can be found from USAID.  ","If development assistance increases the expected benefits of alternative courses of action to committing mass atrocities, it would reduce the likelihood or severity of mass atrocities.","Operational, Structural","Yes","(1) dissuading potential perpetrators from committing atrocities","Economic","Consistent implementation","Consistency over time","The tool is implemented consistently over time and across parties/perpetrator groups.","Inconsistent implementation","The tool is implemented inconsistently over time and across parties/perpetrator groups.","Design","Implementer choices",NA,NA,NA,NA,NA,NA,0,"The tool is implemented consistently over time and across parties/perpetrator groups.",NA,"Moderate",NA,"Moderate",NA,"Development assistance_tool",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"21","High quantity of troops",NA,"Mediation",1,1,0,0,1,1,0,1,1,0,0,0,0,0,"Mass atrocities","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) facilitating a political transition.","Diplomatic","High quantity of troops","Large_force","The peacekeeping or intervening military force is large in size.","Small peacekeeping or intervening military force","The peacekeeping or intervening military force is small in size.","Design","Implementer choices",NA,NA,NA,NA,NA,NA,0,"The peacekeeping or intervening military force is large in size.",NA,"Weaker",NA,"Relatively weak",NA,"Mediation_tool",1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"22","Tool addresses root causes",NA,"Mediation",6,6,0,0,3.5,3.5,0,6,1,0,0,5,0,0,"Conflict, Mass atrocities","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) facilitating a political transition.","Diplomatic","Tool addresses root causes","Addresses root causes","The tool addresses the root causes of the conflict.","Tool does not address root causes","The tool does not address the root causes of the conflict.","Design","Implementer choices ",NA,NA,NA,NA,NA,NA,0,"The tool addresses the root causes of the conflict.",NA,"Stronger",NA,"Relatively strong",NA,"Mediation_tool",1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"23","Limited scope",NA,"Mediation",3,2,1,0,0.5,0.5,0,3,0,0,0,2,1,0,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes","(1) dissuading potential perpetrators from committing atrocities, and (2) facilitating a political transition.","Diplomatic","Limited scope","Limited scope","The tool is applied in a limited way or targets a limited set of issues within the conflict.","Broad scope","The tool targets a broad set of issues within the conflict.","Design","Implementer choices",NA,NA,NA,NA,NA,NA,0,"The tool is applied in a limited way or targets a limited set of issues within the conflict.",NA,"Weaker",NA,"Relatively weak",NA,"Mediation_tool",1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
