"","article_index","full_citation","Key","Item.Type","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Url","Abstract.Note","Date","Date.Added","Date.Modified","Access.Date","Pages","Num.Pages","Issue","Volume","Number.Of.Volumes","Journal.Abbreviation","Short.Title","Series","Series.Number","Series.Text","Series.Title","Publisher","Place","Language","Rights","Type","Archive","Archive.Location","Library.Catalog","Call.Number","Notes","File.Attachments","Link.Attachments","Manual.Tags","Automatic.Tags","Editor","Series.Editor","Translator","Contributor","Attorney.Agent","Book.Author","Cast.Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed.Author","Scriptwriter","Words.By","Guest","Number","Edition","Running.Time","Scale","Medium","Artwork.Size","Filing.Date","Application.Number","Assignee","Issuing.Authority","Country","Meeting.Name","Conference.Name","Court","References","Reporter","Legal.Status","Priority.Numbers","Programming.Language","Version","System","Code","Code.Number","Section","Session","Committee","History","Legislative.Body"
"52","Mediation.2023.7","Ruhe, Constantin. ""Impeding fatal violence through third-party diplomacy: The effect of mediation on conflict intensity,"" *Journal of Peace Research*, vol. 58, no. 4 (2021), 687-701, DOI: 10.1177/0022343320930072","W87SB48W","journalArticle",2021,"Ruhe, Constantin","Impeding fatal violence through third-party diplomacy: The effect of mediation on conflict intensity","Journal of Peace Research","","0022-3433","10.1177/0022343320930072","https://doi.org/10.1177/0022343320930072","Existing research provides no systematic insights into if and how mediation impedes battle-related deaths. Therefore, this article presents a temporally disaggregated analysis and assesses the effect of mediation on monthly fatal violence. The article predicts that adversaries evaluate opponents’ trustworthiness from both fighting and negotiation behavior. It argues that reducing fighting intensity during negotiations is a sign of cooperation, which can be negotiated by mediators to build trust. Over the course of mediation, the content of negotiations provides information about how genuinely a conflict party is interested in conflict resolution. Only if mediation achieves negotiation of core incompatibilities will conflict parties be willing to reduce fighting intensity. Under these conditions, information revealed in a mediation process can build trust and substantively reduce violence. An empirical analysis of all African conflicts between 1993 and 2007 supports this prediction and shows that on average mediation is followed by substantive and lasting reductions in fatal violence, if mediation discusses the conflict’s main incompatibility. In contrast, mediation on other topics is associated with a small, fleeting reduction in violence. Data of battle-related fatalities in Syria during negotiations as well as qualitative evidence further support the theoretical mechanism and the model prediction. The study concludes that mediation can reduce conflict intensity substantively, if it achieves exchange between conflict parties on the main conflict issues.","2021-07-01","2023-11-26 03:37:21","2023-11-26 03:38:35","2023-11-26 03:37:21","687-701",NA,"4",58,NA,"","Impeding fatal violence through third-party diplomacy","",NA,NA,"","","","en",NA,"","","","SAGE Journals","",NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Mediation.2023.4","Ifediora, Obinna F. ""Formulative Strategy: Why the African Union-led International Mediation in South Sudan Failed to Prevent Atrocity Crimes,"" *International Studies Perspectives*, vol. 22, no. 3 (2021), 301-320, DOI: 10.1093/isp/ekaa019","Z2H5FNE7","journalArticle",2021,"Ifediora, Obinna F","Formulative Strategy: Why the African Union-led International Mediation in South Sudan Failed to Prevent Atrocity Crimes","International Studies Perspectives","","1528-3577","10.1093/isp/ekaa019","https://doi.org/10.1093/isp/ekaa019","The puzzle of the African Union mediation is that it enjoys regional effectiveness in leading peace processes and yet often fails to prevent atrocity crimes. While existing studies focus on the lack of capacity to explain failures, I draw on atrocity mediation literature that emphasizes coercive strategies for ripening to explore widely significant factors associated with the AU mediation. I adopt the “framework of mediator behavior” in international mediation studies to analyze AU policies on conflict responses and the mediation in South Sudan. My approach is consistent with the content analysis of qualitative data. I find that the significant factor in the AU mediation is the “patient” policy, like “strategic patience.” The policy reflects formulative strategy of conflict mediation that describes the mediator who controls the process but shifts control of substantive decision-making to the parties. Formulative strategy is technically non-coercive, so the AU embraces it to respect sovereignty. The paradox is that formulative strategy is the AU legitimacy source—which anchors effectiveness—and failure. The AU mediation failed because of strategic choice, not the lack of capabilities. This study contributes to a broader understanding of the AU mediation and challenges mediator behavior assumptions.","2021-08-01","2023-11-26 03:34:07","2023-11-26 03:35:00","2023-11-26 03:34:07","301-320",NA,"3",22,NA,"International Studies Perspectives","Formulative Strategy","",NA,NA,"","","","",NA,"","","","Silverchair","",NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Mediation.2023.34","Duursma, Allard. ""Not All Ceasefires Are Created Equal: The Role of Third Party Manipulation in Sudan’s Major Ceasefire Agreements,"" *International Negotiation*, vol. 26, no. 3 (2021), 423-452, DOI: 10.1163/15718069-BJA10024","MCVACZYI","journalArticle",2021,"Duursma, Allard","Not All Ceasefires Are Created Equal: The Role of Third Party Manipulation in Sudan’s Major Ceasefire Agreements","International Negotiation","","1571-8069, 1382-340X","10.1163/15718069-BJA10024","https://brill.com/view/journals/iner/26/3/article-p423_5.xml","Abstract Past research has found that third party pressure makes the signing of a ceasefire more likely, but also more likely to break down. What explains this variation? I argue that third party pressure is more likely to lead to a durable ceasefire if pressure is applied to persuade the conflict parties to continue to negotiate and produce a detailed ceasefire document, whereas pressure solely aimed at making the conflict parties sign a ceasefire document undermines the durability of the ceasefire. A comparison of four ceasefires concluded in Sudan supports this argument. Third party pressure that led to the Nuba Mountains Ceasefire and the Agreement on Security Arrangements helped move the negotiations on security arrangements forward. By contrast, the N’Djamena Ceasefire Agreement and the Darfur Peace Agreement were imposed on the parties without regard for political and technical aspects of the ceasefire. This explains why violence soon resumed.","2021-05-07","2023-11-26 03:27:51","2023-11-26 03:30:49","2023-11-26 03:27:51","423-452",NA,"3",26,NA,"","Not All Ceasefires Are Created Equal","",NA,NA,"","","","eng",NA,"","","","brill.com","",NA,"",NA,"","mediation; manipulation; ceasefires; pressure; security arrangements","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Mediation.2023.33","Guliyev, Farid; Gawrich, Andrea. ""OSCE mediation strategies in Eastern Ukraine and Nagorno-Karabakh: a comparative analysis,"" *European Security*, vol. 30, no. 4 (2021), 569-588, DOI: 10.1080/09662839.2021.1900121","VUTJBAS9","journalArticle",2021,"Guliyev, Farid; Gawrich, Andrea","OSCE mediation strategies in Eastern Ukraine and Nagorno-Karabakh: a comparative analysis","European Security","","0966-2839","10.1080/09662839.2021.1900121","https://doi.org/10.1080/09662839.2021.1900121","Even though the Organization for Security and Cooperation in Europe (OSCE) has performed mediation efforts in Eurasian secessionist conflicts, its role has been neglected by mainstream international relations (IR) and conflict mediation literature. To fill in this gap, this article examines OSCE mediation strategies in two major secessionist conflicts: the Nagorno-Karabakh (NK) conflict between Armenia and Azerbaijan and the conflict in Eastern Ukraine. Drawing on Zartman’s conceptual framework, this study posits that OSCE mediation strategies were constrained given its weak organisational capacity, lack of legal empowerment and adverse geopolitical environment. Due to these structural limitations, the OSCE can be said to have been more effective in containing conflict than contributing to conflict resolution. This article aims to contribute to conflict mediation research by highlighting the importance of context for understanding the role of international organisations (IOs) as mediators.","2021-10-02","2023-11-26 03:25:31","2023-11-26 03:26:15","2023-11-26 03:25:31","569-588",NA,"4",30,NA,"","OSCE mediation strategies in Eastern Ukraine and Nagorno-Karabakh","",NA,NA,"","","","",NA,"","","","Taylor and Francis+NEJM","",NA,"",NA,"","mediation; Eastern Europe; International organisations; OSCE; secessionist conflicts; South Caucasus","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Mediation.2023.22","Hudáková, Zuzana. ""Success in the Shadow of Failure: UN Mediation in Yemen (2011–2015),"" *International Negotiation*, vol. 27, no. 1 (2021), 71-102, DOI: 10.1163/15718069-bja10042","K5XMEZT2","journalArticle",2021,"Hudáková, Zuzana","Success in the Shadow of Failure: UN Mediation in Yemen (2011–2015)","International Negotiation","","1571-8069, 1382-340X","10.1163/15718069-bja10042","https://brill.com/view/journals/iner/27/1/article-p71_4.xml","Abstract Over the past few years, Yemen has become synonymous with mediation failure. This contrasts sharply with the situation in the early 2010s, when the United Nations played a crucial role in persuading Yemen’s long-serving President, Ali Abdullah Saleh, to step down from power and, at least initially, successfully steered the country during the ensuing political transition. By analyzing UN mediation efforts during the mandate of Special Adviser Jamal Benomar, the article draws attention to the multiple shifting benchmarks for success. It adopts a phase-differentiated approach to mediation evaluation, which not only allows for recognition of earlier successes, but also enables an analysis of relevant factors influencing mediation success or failure in different stages of the mediation process. In the final instance, the analysis suggests that the eventual failure of UN mediation in Yemen can be traced to conflict and contextual factors rather than the mediator or the mediation process.","2021-10-15","2023-11-26 03:05:10","2023-11-26 03:05:46","2023-11-26 03:05:10","71-102",NA,"1",27,NA,"","Success in the Shadow of Failure","",NA,NA,"","","","eng",NA,"","","","brill.com","",NA,"",NA,"","conflict resolution; United Nations; Yemen; mediation success; political transition","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Mediation.2023.21","Marandici, Ion. ""Structural bias, polarized mediation and conflict resolution failure: a comparative examination of the disputes in Transnistria and Donbas,"" *Southeast European and Black Sea Studies*, vol. 23, no. 1 (2022), 89-113, DOI: 10.1080/14683857.2022.2101188","RDW57A9Y","journalArticle",2022,"Marandici, Ion","Structural bias, polarized mediation and conflict resolution failure: a comparative examination of the disputes in Transnistria and Donbas","Southeast European and Black Sea Studies","","1468-3857","10.1080/14683857.2022.2101188","https://doi.org/10.1080/14683857.2022.2101188","Under what conditions does conflict resolution fail? This article identifies several undertheorized factors hindering conflict resolution. It argues that structural bias, inadequate leverage and a polarized mediation format render negotiations ineffective, undermining the peace process. Durable peace settlements are unlikely when mediators become parties to the conflict, patronize the rebels, shape the domestic politics of the parent-states, and promote resolution plans advancing their security interests. The concepts of structural bias and polarized mediation are further explored by employing a structured focused comparison of the conflict management strategies in Transnistria (Moldova) and Donbas (Ukraine). The comparative examination revealed that Russia, as a power mediator, displayed a structural bias towards the rebel side but lacked sufficient leverage to impose a settlement on both parties. It attempted to increase its influence over Ukraine by getting entangled in the Donbas conflict, recognizing the secessionist regions and launching a conventional war against Kyiv.","2022","2023-11-26 03:02:03","2023-11-26 03:03:30","2023-11-26 03:02:03","89-113",NA,"1",23,NA,"","Structural bias, polarized mediation and conflict resolution failure","",NA,NA,"","","","",NA,"","","","Taylor and Francis+NEJM","",NA,"",NA,"","Russia; conflict resolution; Mediation; donbas conflict; transnistrian conflict","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Mediation.2023.20","Ruhe, Constantin; Volg, Iris. ""Sticks and carrots for peace: The effect of manipulative mediation strategies on post-conflict stability,"" *Research & Politics*, vol. 8, no. 2 (2021), 20531680211018368, DOI: 10.1177/20531680211018368","537UI9ZH","journalArticle",2021,"Ruhe, Constantin; Volg, Iris","Sticks and carrots for peace: The effect of manipulative mediation strategies on post-conflict stability","Research & Politics","","2053-1680","10.1177/20531680211018368","https://doi.org/10.1177/20531680211018368","Mediation is widely used to settle armed conflict and interstate crises. However, the debate over the most appropriate and effective mediation strategy is still ongoing. In particular, manipulative mediation is controversial, with some research indicating that heavy-handed mediation may buy short-term peace at the expense of an instable long-term situation. This paper re-evaluates these claims. We discuss how existing theoretical arguments either do not imply long-term instability or implicitly make unrealistic assumptions to explain possible long-term problems of manipulative strategies. We re-examine published empirical evidence for problematic long-term effects of manipulative mediation in interstate crises. We demonstrate statistically that this evidence actually implies a different conclusion and instead supports our theoretical argument: manipulative mediation is associated with substantively greater stability compared to unmediated cases, although this effect weakens and becomes statistically insignificant after several years. Interestingly, non-manipulative mediation appears to be uncorrelated with post-crisis stability, based on our analysis.","2021-04-01","2023-11-26 02:56:42","2023-11-26 03:01:57","2023-11-26 02:56:42","20531680211018368",NA,"2",8,NA,"","Sticks and carrots for peace","",NA,NA,"","","","en",NA,"","","","SAGE Journals","",NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Mediation.2023.2","Terris, Lesley G.; Tykocinski, Orit E.. ""Agents of peace or enablers of violence? The proximal effects of mediators in international disputes,"" *International Interactions*, vol. 48, no. 1 (2021), 1-22, DOI: 10.1080/03050629.2021.1977637","EWFTMY38","journalArticle",2021,"Terris, Lesley G.; Tykocinski, Orit E.","Agents of peace or enablers of violence? The proximal effects of mediators in international disputes","International Interactions","","0305-0629","10.1080/03050629.2021.1977637","https://doi.org/10.1080/03050629.2021.1977637","The international relations literature typically portrays mediators as effective agents of dispute de-escalation. Upon mediation onset rivals are expected to lower the flames of conflict and enter into negotiations. We argue, however, that the mediator’s presence may actually prompt and facilitate conflict escalation, particularly immediately following the onset of mediation. Hostilities, which may be motivated by rivals’ strategic need to signal resolve, may be further energized by the belief that the mediator will curb retaliatory actions. In this sense, the mediator is perceived as an “insurance policy,” reducing both the perceived likelihood and the potential costs of escalation. To explore this phenomenon, we track rivals’ behavior patterns in the six-month period after mediation onset in intrastate conflicts, 1995–2010. We find that in 42% of the conflicts, the arrival of the mediator was significantly associated with increased hostilities. We discuss this pattern and examine factors that might be linked to its occurrence.","2021","2023-11-26 02:43:27","2023-11-26 02:46:17","2023-11-26 02:43:27","1-22",NA,"1",48,NA,"","Agents of peace or enablers of violence?","",NA,NA,"","","","",NA,"","","","Taylor and Francis+NEJM","",NA,"",NA,"","conflict escalation; insurance effect, bargaining; mediation, negotiation","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Mediation.2023.19",NA,"BGD2HBY7","manuscript",2022,"Breslawski, Jori; Cunningham, David E.; Fleishman, Madeline","Regional Organizations and Conflict Management","","","","","https://papers.ssrn.com/abstract=4239908","Academic research demonstrates that international actors can contribute to the resolution of and reductions of violence in civil wars through actions such as mediation and peacekeeping. Many of these organizations also express a commitment to responding to escalating crises to resolve disputes before they become civil wars and to reduce violence at all stages of conflict. We argue that Regional Organizations are well positioned to intervene in violent intrastate disputes because they can respond quickly and their member states are directly affected by contention in the region. We present new data on conflict management activities by the Economic Community of West African States (ECOWAS), identifying four sets of tools—rhetorical, diplomatic, economic, and military. We examine how these activities affect violence in member states and find that conflict management activity by ECOWAS is generally associated with reductions in violent events as well as fatalities in the following month. We find a particularly strong effect of diplomatic and rhetorical action in reducing violence. The analyses in this article show that ROs can be effective conflict managers and that early engagement in intrastate disputes, including through relatively low-cost activities such as diplomacy and condemnations—can reduce violence.","2022-10-06","2023-11-26 02:30:54","2023-11-27 19:25:21","2023-11-26 02:30:54","",NA,"",NA,NA,"","","",NA,NA,"","","Rochester, NY","en",NA,"SSRN Scholarly Paper","","","Social Science Research Network","",NA,"",NA,"","conflict; mediation; diplomacy; ECOWAS; regional organizations","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Mediation.2023.14","Kuperman, Alan J.. ""Muscular Mediation and Ripeness Theory,"" *Ethnopolitics*, vol. 21, no. 2 (2021), 163-177, DOI: 10.1080/17449057.2022.2004777","8CW3KWQT","journalArticle",2021,"Kuperman, Alan J.","Muscular Mediation and Ripeness Theory","Ethnopolitics","","1744-9057","10.1080/17449057.2022.2004777","https://doi.org/10.1080/17449057.2022.2004777","William Zartman’s ‘ripeness’ theory says that parties to a violent conflict will not negotiate sincerely in the absence of a mutually hurting stalemate (MHS). In such circumstances, Zartman recommends a mediator employ coercion by escalating the conflict into a MHS, but the concept is not fully elaborated. Building on Zartman, this article specifies a new theory of ‘muscular mediation’, defined as a powerful mediator using coercion to achieve a mutual compromise that it formulates. The theory is evaluated in three cases from the 1990s: Bosnia, Rwanda, and Kosovo. The article finds that muscular mediation can work but also may backfire by magnifying violence against civilians, especially when all of three adverse conditions are present: (1) the coerced agreement threatens a vital interest of a party; (2) that party has the potential to escalate violence against the opposing side’s civilians; (3) the muscular mediator does not deploy sufficient military forces to deter or prevent such escalation. The article also explores why muscular mediation has been pursued under such adverse conditions. It concludes with advice for prospective muscular mediators.","2021","2023-11-26 02:23:32","2023-11-26 02:25:14","2023-11-26 02:23:32","163-177",NA,"2",21,NA,"","","",NA,NA,"","","","",NA,"","","","Taylor and Francis+NEJM","",NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Mediation.2023.13","Fontana, Giuditta; Siewert, Markus B.; Yakinthou, Christalla. ""Managing War-to-Peace Transitions after Intra-State Conflicts: Configurations of Successful Peace Processes,"" *Journal of Intervention and Statebuilding*, vol. 15, no. 1 (2021), 25-47, DOI: 10.1080/17502977.2020.1770479","9QSX38NA","journalArticle",2021,"Fontana, Giuditta; Siewert, Markus B.; Yakinthou, Christalla","Managing War-to-Peace Transitions after Intra-State Conflicts: Configurations of Successful Peace Processes","Journal of Intervention and Statebuilding","","1750-2977","10.1080/17502977.2020.1770479","https://doi.org/10.1080/17502977.2020.1770479","Examining 50 intra-state peace processes (1989–2006) through fsQCA, we identify three clusters of peace agreements being consistently associated with successful war-to peace transitions: ‘an international approach’, ‘a transitional justice approach’, and ‘a domestic approach’. Probing these configurations at the case level shows that successful peace processes typically include packages of provisions which trigger both cost-increasing and fear-reducing mechanisms; that transitional justice provisions and education reform can trigger cost-increasing mechanisms; and that territorial self-governance can substitute effectively foreign involvement in separatist conflicts.","2021-01-01","2023-11-26 02:20:11","2023-11-26 02:21:21","2023-11-26 02:20:11","25-47",NA,"1",15,NA,"","Managing War-to-Peace Transitions after Intra-State Conflicts","",NA,NA,"","","","",NA,"","","","Taylor and Francis+NEJM","",NA,"",NA,"","transitional justice; education; international intervention; Peace agreements; power-sharing; territorial self-governance","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Mediation.2023.12","Diehl, Paul F; Owsiak, Andrew P; Goertz, Gary. ""Managing the Dual Faces of International–Civil Militarized Conflict (I-CMC): The Interstate Dimension,"" *Global Studies Quarterly*, vol. 2, no. 3 (2022), ksac020, DOI: 10.1093/isagsq/ksac020","5F5CZS4T","journalArticle",2022,"Diehl, Paul F; Owsiak, Andrew P; Goertz, Gary","Managing the Dual Faces of International–Civil Militarized Conflict (I-CMC): The Interstate Dimension","Global Studies Quarterly","","2634-3797","10.1093/isagsq/ksac020","https://doi.org/10.1093/isagsq/ksac020","This study examines how different conflict-management attempts over a broad time period affect the dynamics of one dimension of international–civil militarized conflict (I-CMC): the hostility–peace levels of relationships between states involved in those conflicts as well as the frequency and severity of their interactions. Using new data compilations on these conflicts and the management efforts embedded in them, we assess how effective each of the approaches and various contextual influences are in moderating state–state hostilities as well as the relative effectiveness (e.g., mediation versus military intervention). Our empirical analysis confirms that conflict-management efforts generally, and with respect to different management types, do not alter the overall hostile–peaceful relationships between states involved in I-CMCs. The empirical results on micro effects of conflict management produced clearer impacts from conflict-management approaches and contextual factors. In terms of mitigating conflict frequency, negotiation, military intervention, and peace operations had some negative effects on the time density of future militarized disputes. All approaches (the above three and mediation) were able to delay the onset of new disputes. Various contextual factors enhanced or mitigated the effects of conflict-management approaches.","2022-07-01","2023-11-26 02:18:20","2023-11-26 02:18:55","2023-11-26 02:18:20","ksac020",NA,"3",2,NA,"Global Studies Quarterly","Managing the Dual Faces of International–Civil Militarized Conflict (I-CMC)","",NA,NA,"","","","",NA,"","","","Silverchair","",NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Foreign Assistance.2023.9","Boutton, Andrew. ""Military Aid, Regime Vulnerability and the Escalation of Political Violence,"" *Cambridge University Press*, vol. 51, no. 2 (2021), 507-525, DOI: ","J7CPE6RG","journalArticle",2021,"Boutton, Andrew","Military Aid, Regime Vulnerability and the Escalation of Political Violence","Cambridge University Press","","","","https://ideas.repec.org/a/cup/bjposi/v51y2021i2p507-525_3.html","","2021","2023-11-26 02:11:19","2023-11-26 02:13:18","2023-11-26 02:11:19","507-525",NA,"2",51,NA,"","","",NA,NA,"","","","",NA,"","","","","",NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Foreign Assistance.2023.8","Mross, Karina; Fiedler, Charlotte; Grävingholt, Jörn. ""Identifying Pathways to Peace: How International Support Can Help Prevent Conflict Recurrence,"" *International Studies Quarterly*, vol. 66, no. 1 (2021), sqab091, DOI: 10.1093/isq/sqab091","KPNZCYJQ","journalArticle",2021,"Mross, Karina; Fiedler, Charlotte; Grävingholt, Jörn","Identifying Pathways to Peace: How International Support Can Help Prevent Conflict Recurrence","International Studies Quarterly","","0020-8833","10.1093/isq/sqab091","https://doi.org/10.1093/isq/sqab091","This article provides new evidence on how the international community can effectively foster peace after civil war. It expands the current literature's narrow focus on either peacekeeping or aggregated aid flows, adopting a comprehensive, yet disaggregated, view on international peacebuilding efforts. We distinguish five areas of peacebuilding support (peacekeeping, nonmilitary security support, support for politics and governance, for socioeconomic development, and for societal conflict transformation) and analyze which types or combinations are particularly effective and in which context. Applying configurational analysis (qualitative comparative analysis) to all thirty-six post-civil war peace episodes between 1990 and 2014, we find that (1) peacekeeping is only one important component of effective post-conflict support, (2) the largest share of peaceful cases can be explained by support for politics and governance, (3) only combined international efforts across all types of support can address difficult contexts, and (4) countries neglected by the international community are highly prone to experiencing conflict recurrence. Three case studies shed light on underlying causal mechanisms.","2021","2023-11-26 02:08:34","2023-11-26 02:09:18","2023-11-26 02:08:34","sqab091",NA,"1",66,NA,"International Studies Quarterly","Identifying Pathways to Peace","",NA,NA,"","","","",NA,"","","","Silverchair","",NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Foreign Assistance.2023.7","Greig, J. Michael. ""Helping without hurting: ameliorating the negative effects of humanitarian assistance on civil wars through mediation,"" *International Interactions*, vol. 47, no. 1 (2021), 79-106, DOI: 10.1080/03050629.2020.1814763","LND3UJNV","journalArticle",2021,"Greig, J. Michael","Helping without hurting: ameliorating the negative effects of humanitarian assistance on civil wars through mediation","International Interactions","","0305-0629","10.1080/03050629.2020.1814763","https://doi.org/10.1080/03050629.2020.1814763","A growing body of literature has suggested that, in the long-run, humanitarian aid, while well-intentioned, might be counter-productive to civil war conflict management because aid provides resources that help belligerents sustain their conflict, increasing the intensity of civil wars and lengthening their duration. This unintended consequence of humanitarian aid creates a paradox for policymakers. Those civil wars that are most resistant to settlement efforts generate the greatest need for humanitarian aid to limit the deadly effects of conflict on civilians. Yet, if humanitarian aid adds fuel to the fire of these same conflicts, making them more resistant to settlement and increasing the pain they impose upon civilians, policymakers might choose to avoid providing humanitarian assistance altogether in the hopes of hastening the end of the conflict. In this paper, I argue that while humanitarian aid can bring these unintended consequences, scholars have tended to overlook the way in which the combined effects of humanitarian aid and mediation can increase the likelihood of civil wars ending. I find that the combined effects of repeated mediation and high levels of humanitarian aid increase the likelihood both that conflicts will end and that they will terminate with peace agreements and cease-fires. This effect is especially strong for conflicts mediated by international organizations and major powers.","2021-01-02","2023-11-26 02:06:39","2023-11-26 02:07:10","2023-11-26 02:06:39","79-106",NA,"1",47,NA,"","Helping without hurting","",NA,NA,"","","","",NA,"","","","Taylor and Francis+NEJM","",NA,"",NA,"","civil war; Mediation; humanitarian assistance","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Foreign Assistance.2023.5","Maekawa, Wakako. ""External intelligence assistance and the recipient government’s violence against civilians,"" *Conflict Management and Peace Science*, vol. 40, no. 5 (2022), 511-532, DOI: 10.1177/07388942221129047","6KKWBDLW","journalArticle",2022,"Maekawa, Wakako","External intelligence assistance and the recipient government’s violence against civilians","Conflict Management and Peace Science","","0738-8942","10.1177/07388942221129047","https://doi.org/10.1177/07388942221129047","During a civil war, does external intelligence assistance reduce violence perpetrated by the recipient government against civilians? I contend that intelligence assistance reduces violence against civilians by facilitating identification problems and adopting a “winning-hearts-and-minds strategy,” which enhances the recipient government's legitimacy and intelligence potential. Enhanced intelligence capability solves the recipient government's identification problems. I examined this logic using a dataset on external support and one-sided violence between 1990 and 2008. The empirical findings show that external intelligence assistance reduces the recipient government's violence against civilians.","2022","2023-11-26 02:02:19","2023-11-26 02:04:44","2023-11-26 02:02:19","511-532",NA,"5",40,NA,"","","",NA,NA,"","","","en",NA,"","","","SAGE Journals","",NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
