Code type,Code
Tool,Development assistance_tool
Tool,Amnesties_tool
Gender,Single_authored_male
Gender,Single_authored_female
Gender,Co_authored_male
Gender,Co_authored_female
Gender,Co_authored_mixed_gender_team
Publication,Peer-reviewed journal article
Publication,Book chapter
Publication,Organizational publication
Publication,Unpublished manuscript
Empirical,One case study
Empirical,Comparison of greater than one case
Empirical,Unclear
Method,No discernible method
Qual,Process tracing
Qual,Structured case comparison
Quant,Simple probability
Quant,Regression
Quant,Statistics with an identification strategy
Quant,Fixed or random effects
CD,Diaspora implementer
CD,Military regime
CD,Nationalist political leverage
CD,Reliance on international trade and investment
CD,Colonial history
CD,Non-politicized_naming_and_shaming
CD,Multiple_types_of_sanctions
CD,Terror group
CD,Inclusive of diverse actors
CD,Ethnic diversity
CD,Cohesiveness of conflict parties
CD,Rebel political wing
CD,Shared_membership
CD,Neighbor implementer
CD,Similar legal systems
CD,Diplomatic ties
CD,Multiple mediators
CD,Western implementer
CD,Cohesive implementer
CD,Decisive strategy
CD,Limited scope
CD,Neutral venue
CD,Inclusive to all parties
CD,Addresses internal and external issues
CD,Indirect_mediation
CD,Leadership change
CD,Addresses root causes
CD,Use of tool regionally
CD,Imbalance_wealth
CD,War of secession
CD,Ethnic conflict
CD,Military victory
CD,Domestic implementer
CD,Change of mediator
CD,Sequenced approach
CD,Ethnic exclusion
CD,Directive_mediation
CD,Provision of troops
CD,Money or arms support
CD,Rebel safe haven
CD,Domestic_punishment_likely
CD,Prosecutions_occur_after _negotiated_settlement
CD,Indictment
CD,Investigations_transferred_to_pre-trial_chamber
CD,Preliminary_examination
CD,Request_for_arrest_warrants
CD,Conviction_or_severe_punishment
CD,Flexibility_and_linkage_to_behavior
CD,Member of the implementing institution
CD,High economic cost
CD,Active conflict_parties
CD,Moderate policy goal
CD,Leader family members
CD,Aid conditionalities
CD,Great power competition
CD,High-risk state
CD,Conflict termination goals
CD,Legal lootable resources
CD,Target_resource_concessions
CD,Government_intervention
CD,Rebel_intervention
CD,Perpetrator_intervention
CD,Neutral_intervention
CD,Non_lootable_resources
CD,Strategy_targets_civilians
CD,Implementer_regime_change
CD,Counterterrorism_objective
CD,Democratization_mandate
CD,Independent_agenda
CD,Strategic_interest
CD,Leaders_not_comply
CD,Large_money_transfers
CD,Amnesty_serious_violations
CD,Limited_timespan
CD,Amnesty_relevant_parties
CD,Awareness_tool
CD,Promise_use_tool
CD,Economic_shock
CD,Inflation
CD,Neighbor_state_support
CD,Humanitarian_aid
CD,Strong_civil_society
CD,Airpower
CD,Concentrated_disbursement
CD,Number_external_sponsors
CD,Corrupt
CD,International_exposure
CD,Accountability_enforcement
CD,Education_assistance
CD,Human_rights_goals
CD,Visible_HR_abuses
CD,Degrade_constrain
CD,Multiple_types_of_aid
CD,Humanitarian_exemptions
CD,Multiple_specialized_units
CD,Peacekeepers_involved_mediation
CD,Women_peacekeepers
CD,Governance_assistance
CD,Cash_assistance
