"","Name.Final","tool_name","Tool","count","greater_findings","lesser_findings","no_mixed_findings","temp_vote_count_factor","vote_count_factor","count_adverse","count_without_adverse","ma_focus_greater_count_factor","ma_focus_lesser_count_factor","ma_focus_no_mixed_count_factor","cro_focus_greater_count_factor","cro_focus_lesser_count_factor","cro_focus_no_mixed_count_factor","outcomes","Short.description","Description_tool","Theory.of.change","Structural.or.operational","Evidence.review","dissuade","degrade","protect","transition","military","diplomatic","informational","economic","legal","Name","Dedoose.name_factor","Description","Inverse.factor","Inverse.factor.description","Contextual.or.design.factor","Family","domestic_context","conflict_dynamics","target_characteristics","implementer_choices","implementer_characteristics","international_dynamics","tool_specific","count_practitioner","number_practitioners","proportion_practitioner","inversion_with_neg_strength","Description.Final","vote_count","research_qualitative","practitioner_qualitative","research_qualitative_for_web","practitioner_qualitative_for_web","Dedoose.name_tool"
"11","Well-informed implementer","Mediation","Mediation_tool",7,6,0,1,3.5,3.25,0,7,1,0,0,5,0,1,"Conflict, Mass atrocities","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Well-informed implementer","Knowledge","The tool implementer is well-versed in the political and social context in which the conflict is occurring, or has credible information about the intentions or capabilities of the target.","Poorly-informed implementer","The tool implementer is poorly-versed in the political and social context in which the conflict is occurring, or lacks credible information about the intentions or capabilities of the target.","Design","Implementer characteristics",0,0,0,0,1,0,0,NA,NA,NA,0,"The tool implementer is well-versed in the political and social context in which the conflict is occurring, or has credible information about the intentions or capabilities of the target.",3.25,"Stronger",NA,"Relatively strong",NA,"Mediation_tool"
"12","Concurrent use of multiple tools","Mediation","Mediation_tool",15,10,1,4,5,4,0,15,1,0,0,9,1,4,"Conflict, Mass atrocities","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Concurrent use of multiple tools","Multi_tool","The tool implementer or other actors are simultaneously implementing other tools that are consistent with the goals of the tool.","Single tool","No actors are implementing tools that are consistent with the goals of the tool.","Design","Implementer choices",0,0,0,1,0,0,0,NA,NA,NA,0,"The tool implementer or other actors are simultaneously implementing other tools that are consistent with the goals of the tool.",4,"Stronger",NA,"Relatively strong",NA,"Mediation_tool"
"13","Clear policy objectives","Mediation","Mediation_tool",3,3,0,0,1.5,1.5,0,3,0,0,0,3,0,0,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Clear policy objectives","Clear policy objectives","The implementer's objectives in using the tool are clear.","Absence of clear policy objectives","The implementer's objectives in using the tool are unclear.","Design","Implementer choices",0,0,0,1,0,0,0,NA,NA,NA,0,"The implementer's objectives in using the tool are clear.",1.5,"Moderate",NA,"Moderate",NA,"Mediation_tool"
"14","Committed implementer","Mediation","Mediation_tool",6,6,0,0,3,3,0,6,0,0,0,6,0,0,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Committed implementer","Commitment","The tool implementer has a high level of commitment, resolve, or credibility, or has committed a great deal of resources toward use of the tool.","Uncommitted implementer","The tool implementer has a low level of commitment, resolve, or credibility, or has committed few resources toward use of the tool.","Design","Implementer characteristics",0,0,0,0,1,0,0,NA,NA,NA,0,"The tool implementer has a high level of commitment, resolve, or credibility, or has committed a great deal of resources toward use of the tool.",3,"Moderate",NA,"Moderate",NA,"Mediation_tool"
"15","Conflict party initiates mediation","Mediation","Mediation_tool",3,2,1,0,0.5,0.5,0,3,0,0,0,2,1,0,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Conflict party initiates mediation","Conflict_party_initiates_mediation","The mediation is initiated by one of the parties to the conflict in which mass atrocities are occurring, rather than a third-party actor.","Third party initiates mediation","The mediation is initiated by a third party actor, rather than one of the parties to the conflict in which mass atrocities are occurring.","Design","Mediation factors",0,0,0,0,0,0,1,NA,NA,NA,0,"The mediation is initiated by one of the parties to the conflict in which mass atrocities are occurring, rather than a third-party actor.",0.5,"Weaker",NA,"Relatively weak",NA,"Mediation_tool"
"16","Monitoring and adjustment","Mediation","Mediation_tool",3,3,0,0,1.5,1.5,0,3,0,0,0,3,0,0,"Conflict, Human rights violations","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Monitoring and adjustment","Monitoring","The success of the tool is monitored and the tool is adjusted to maximize success.","Absence of monitoring and adjustment","The success of the tool is not monitored nor is the tool adjusted to maximize success.","Design","Implementer choices",0,0,0,1,0,0,0,NA,NA,NA,0,"The success of the tool is monitored and the tool is adjusted to maximize success.",1.5,"Moderate",NA,"Moderate",NA,"Mediation_tool"
"17","High intensity conflict","Naming and shaming","Naming_and_shaming_tool",1,0,0,1,0,0,0,1,0,0,0,0,0,1,"Conflict","Public condemnation of perpetrators of mass atrocities","Naming and shaming is the publicizing of “rights-based violations and their perpetrators (naming) and bring[ing] more pressure to bear on perpetrators of rights violations to change their behavior (shaming)” (Krain 2012, p. 575; Keck and Sikkink 1998).","If naming and shaming imposes reputational costs on perpetrators and/or increases the expected future costs of committing atrocities, it would reduce the likelihood or severity of mass atrocities (Krain 2012; DeMeritt 2012). If naming and shaming imposes reputational and political costs that encourage perpetrators to consider exiting their positions of power, it would reduce the likelihood or severity of mass atrocities by helping facilitate a political transition.","Operational","Yes",1,0,0,1,0,1,0,0,0,"High intensity conflict","High intensity conflict","The country is experiencing a conflict characterized by high-intensity fighting or a high death toll.","Low intensity conflict","The country is experiencing a conflict characterized by low-intensity fighting or a low death toll.","Contextual","Conflict dynamics",0,1,0,0,0,0,0,NA,NA,NA,0,"The country is experiencing a conflict characterized by high-intensity fighting or a high death toll.",0,"Weaker",NA,"Relatively weak",NA,"Naming_and_shaming_tool"
"18","Peacekeepers involved in mediation","Mediation","Mediation_tool",2,2,0,0,1,1,0,2,0,0,0,2,0,0,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Peacekeepers involved in mediation","Peacekeepers_involved_mediation","Peacekeepers are involved in the mediation effort.","Peacekeepers not involved in mediation","Peacekeepers are not involved in the mediation effort.","Design","Mediation factors",0,0,0,0,0,0,1,NA,NA,NA,0,"Peacekeepers are involved in the mediation effort.",1,"Weaker",NA,"Relatively weak",NA,"Mediation_tool"
"19","Committed implementer","Development assistance","Development assistance_tool",6,6,0,0,3,3,0,6,0,0,0,6,0,0,"Conflict","Aid that promotes economic growth, welfare, and humanitarian relief","Development assistance is “government aid that promotes and specifically targets the economic development and welfare of developing countries” (OECD). Development assistance is typically organized into sectors, including democracy, rights, and governance; economic growth; health; education; and humanitarian assistance (USAID). Our research review includes studies of the linkage between development assistance of any or all sectors with mass atrocities or closely related outcomes. As such, it is not a detailed review of alternative program-level interventions. Research reviews of programming options in conflict prevention and peacebuilding can be found from the International Initiative for Impact Evaluation and the United Kingdom’s Department for International Development. Guidance on programming options to help prevent mass atrocities can be found from USAID.  ","If development assistance increases the expected benefits of alternative courses of action to committing mass atrocities, it would reduce the likelihood or severity of mass atrocities.","Operational, Structural","Yes",1,0,0,0,0,0,0,1,0,"Committed implementer","Commitment","The tool implementer has a high level of commitment, resolve, or credibility, or has committed a great deal of resources toward use of the tool.","Uncommitted implementer","The tool implementer has a low level of commitment, resolve, or credibility, or has committed few resources toward use of the tool.","Design","Implementer characteristics",0,0,0,0,1,0,0,NA,NA,NA,0,"The tool implementer has a high level of commitment, resolve, or credibility, or has committed a great deal of resources toward use of the tool.",3,"Moderate",NA,"Moderate",NA,"Development assistance_tool"
"20","Local support for tool","Development assistance","Development assistance_tool",4,4,0,0,2,2,0,4,0,0,0,4,0,0,"Conflict","Aid that promotes economic growth, welfare, and humanitarian relief","Development assistance is “government aid that promotes and specifically targets the economic development and welfare of developing countries” (OECD). Development assistance is typically organized into sectors, including democracy, rights, and governance; economic growth; health; education; and humanitarian assistance (USAID). Our research review includes studies of the linkage between development assistance of any or all sectors with mass atrocities or closely related outcomes. As such, it is not a detailed review of alternative program-level interventions. Research reviews of programming options in conflict prevention and peacebuilding can be found from the International Initiative for Impact Evaluation and the United Kingdom’s Department for International Development. Guidance on programming options to help prevent mass atrocities can be found from USAID.  ","If development assistance increases the expected benefits of alternative courses of action to committing mass atrocities, it would reduce the likelihood or severity of mass atrocities.","Operational, Structural","Yes",1,0,0,0,0,0,0,1,0,"Local support for tool","Local support for tool","Most of the local population and/or local civil society supports the use of the tool and perceives its use as legitimate.","No local support for tool","There is a low degree of local population support or civil society mobilization for the use or goals of the tool, and/or the local population perceives the use of the tool as illegitimate.","Contextual","Domestic context",1,0,0,0,0,0,0,NA,NA,NA,0,"Most of the local population and/or local civil society supports the use of the tool and perceives its use as legitimate.",2,"Moderate",NA,"Moderate",NA,"Development assistance_tool"
"21","Consistent implementation","Development assistance","Development assistance_tool",3,3,0,0,1.5,1.5,0,3,0,0,0,3,0,0,"Conflict","Aid that promotes economic growth, welfare, and humanitarian relief","Development assistance is “government aid that promotes and specifically targets the economic development and welfare of developing countries” (OECD). Development assistance is typically organized into sectors, including democracy, rights, and governance; economic growth; health; education; and humanitarian assistance (USAID). Our research review includes studies of the linkage between development assistance of any or all sectors with mass atrocities or closely related outcomes. As such, it is not a detailed review of alternative program-level interventions. Research reviews of programming options in conflict prevention and peacebuilding can be found from the International Initiative for Impact Evaluation and the United Kingdom’s Department for International Development. Guidance on programming options to help prevent mass atrocities can be found from USAID.  ","If development assistance increases the expected benefits of alternative courses of action to committing mass atrocities, it would reduce the likelihood or severity of mass atrocities.","Operational, Structural","Yes",1,0,0,0,0,0,0,1,0,"Consistent implementation","Consistency over time","The tool is implemented consistently over time and across parties/perpetrator groups.","Inconsistent implementation","The tool is implemented inconsistently over time and across parties/perpetrator groups.","Design","Implementer choices",0,0,0,1,0,0,0,NA,NA,NA,0,"The tool is implemented consistently over time and across parties/perpetrator groups.",1.5,"Moderate",NA,"Moderate",NA,"Development assistance_tool"
"22","High quantity of troops","Mediation","Mediation_tool",1,1,0,0,1,1,0,1,1,0,0,0,0,0,"Mass atrocities","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"High quantity of troops","Large_force","The peacekeeping or intervening military force is large in size.","Small peacekeeping or intervening military force","The peacekeeping or intervening military force is small in size.","Design","Implementer choices",0,0,0,1,0,0,0,NA,NA,NA,0,"The peacekeeping or intervening military force is large in size.",1,"Weaker",NA,"Relatively weak",NA,"Mediation_tool"
"23","Tool addresses root causes","Mediation","Mediation_tool",6,6,0,0,3.5,3.5,0,6,1,0,0,5,0,0,"Conflict, Mass atrocities","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Tool addresses root causes","Addresses root causes","The tool addresses the root causes of the conflict.","Tool does not address root causes","The tool does not address the root causes of the conflict.","Design","Implementer choices ",0,0,0,1,0,0,0,NA,NA,NA,0,"The tool addresses the root causes of the conflict.",3.5,"Stronger",NA,"Relatively strong",NA,"Mediation_tool"
"24","Limited scope","Mediation","Mediation_tool",3,2,1,0,0.5,0.5,0,3,0,0,0,2,1,0,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Limited scope","Limited scope","The tool is applied in a limited way or targets a limited set of issues within the conflict.","Broad scope","The tool targets a broad set of issues within the conflict.","Design","Implementer choices",0,0,0,1,0,0,0,NA,NA,NA,0,"The tool is applied in a limited way or targets a limited set of issues within the conflict.",0.5,"Weaker",NA,"Relatively weak",NA,"Mediation_tool"
"25","Skilled implementer","Mediation","Mediation_tool",6,5,0,1,2.5,2.25,0,6,0,0,0,5,0,1,"Conflict","A non-legal conflict management process facilitated by an external actor","Mediation is “a process of conflict management where disputants seek the assistance of, or accept an offer of help from, an individual, group, state or organization to settle their conflict or resolve their differences without resorting to physical force or invoking the authority of law” (Bercovitch et al. 1991, p. 8).","If mediation helps prevent or end an armed conflict, it would reduce the likelihood of mass atrocities because armed conflict is the strongest risk factor for mass atrocities (Bellamy 2011; Straus 2016).","Operational","Yes",1,0,0,1,0,1,0,0,0,"Skilled implementer","Skills","The tool implementer is highly competent in the use of the tool.","Poorly-informed implementer","The tool implementer is incompetent in the use of the tool.","Design","Implementer characteristics",0,0,0,0,1,0,0,NA,NA,NA,0,"The tool implementer is highly competent in the use of the tool.",2.25,"Moderate",NA,"Moderate",NA,"Mediation_tool"
